category,total_questions,hit_all,miss_all,rot0,rot90,rot180,rot270
attribute_comparison,200,0.57,0.215,0.705,0.675,0.685,0.675
attribute_recognition,200,0.71,0.065,0.84,0.82,0.815,0.825
dynamic_temporal,200,0.24,0.13,0.545,0.57,0.565,0.585
hallucination_detection,200,0.465,0.175,0.675,0.63,0.605,0.695
object_counting,200,0.27,0.315,0.48,0.485,0.435,0.46
object_localization,200,0.665,0.03,0.825,0.84,0.83,0.835
object_presence,200,0.71,0.055,0.83,0.835,0.815,0.875
scene_understanding,200,0.915,0.0,0.98,0.95,0.955,0.97
spatial_relationship,200,0.58,0.025,0.85,0.82,0.815,0.77
Average,200,0.569,0.112,0.748,0.736,0.724,0.743
