"category","Perception Score","Answer Score"
"nonogram_5x5","36.7","0.0"
"battleships_4x4","33.3","3.3"
"starbattle_5x5","50.0","0.0"
"jigsawsudoku_4x4","73.3","36.7"
"hitori_4x4","13.3","0.0"
"sudoku_4x4","36.7","23.3"
"kakuro_4x4","30.0","13.3"
"fieldexplore_4x4","53.3","50.0"
"binairo_4x4","70.0","26.7"
"coloredsudoku_4x4","76.7","46.7"
"lightup_4x4","36.7","0.0"
"killersudoku_4x4","30.0","0.0"
"treesandtents_5x5","3.3","0.0"
"kakurasu_4x4","100.0","96.7"
"futoshiki_4x4","66.7","50.0"
"aquarium_4x4","86.7","40.0"
"skyscraper_4x4","46.7","36.7"
"renzoku_4x4","43.3","23.3"
"oddevensudoku_4x4","30.0","23.3"
"thermometers_4x4","13.3","3.3"
